# x u T N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3
6.609375000000000666e-02 7.035016807354228796e-02 3.000200080533507503e+02 6.582677244565573460e-01 3.374050417406679282e-05 2.166378749782893139e-20 1.998653913588390452e-01 4.789091445508251663e-15 2.756279905005985593e-06 8.469093336695073241e-19 6.505548373954300073e-11 1.789938144607178111e-12 1.072622134443029372e-09 7.431225389882155848e-10 5.581456340232048392e-11 8.190630193604679187e-11 3.720466482837804172e-13 1.232769839692595325e-11 5.156875499829427282e-15 8.481655573065577016e-10 6.649509633360067205e-17 8.284040754953373127e-12 -1.245061546836723643e-13 1.418303837280045776e-01 3.948946923797426703e-11 -3.801876858791517182e-25 2.374284087966674353e-13 2.293043304664168161e-19 6.338702165878418064e-22 1.314686731785782509e-11 7.297296048359818926e-10 5.705068765026280814e-13
6.625000000000000333e-02 7.035606642694298973e-02 3.000295534682599623e+02 6.582659604736056380e-01 3.811936842625667139e-05 3.475892113273865487e-20 1.998642874577732931e-01 4.469416508465841254e-15 4.078881232657273561e-06 1.669958539334678394e-18 9.790121108867953940e-11 2.533847973019517360e-12 1.615567512095727954e-09 1.246311923675448924e-09 8.947470293765646648e-11 1.231977522445890286e-10 5.980343579928865323e-13 1.975227563784058054e-11 8.619668955351944860e-15 1.278436021185652809e-09 1.197319848851085599e-16 1.253289910813922693e-11 -7.827148155601267621e-14 1.418275481474520205e-01 6.696904641328932340e-11 -2.612351416871696564e-25 2.373192420993475674e-13 2.589896601580569094e-19 1.243945797205265526e-21 1.713196353588952747e-11 1.100210263877725713e-09 7.194858042238707681e-13
6.640625000000000000e-02 7.036358833463990381e-02 3.000438617969156780e+02 6.582640980790599450e-01 4.310850385081115862e-05 5.719053488320526787e-20 1.998629230739033258e-01 4.098762684270044006e-15 6.065562872544445668e-06 3.368313817914496966e-18 1.480020569402417820e-10 3.661483782147285206e-12 2.445723576123634296e-09 2.102557059981790818e-09 1.442413107941825727e-10 1.862325487260136935e-10 9.666836345594706212e-13 3.185040499853283982e-11 1.455467466835521027e-14 1.936764559641151975e-09 2.296739553781876789e-16 1.905084430912020676e-11 -7.518001774189836659e-15 1.418237959562486383e-01 1.141900252454494100e-10 -8.129445871540087711e-27 2.371589904687483330e-13 2.978912459959623771e-19 2.463968203298297781e-21 2.241960039452112452e-11 1.667189134942701698e-09 9.649714794745706370e-13
6.656249999999999667e-02 7.037336046849333726e-02 3.000653070002991285e+02 6.582621863628467240e-01 4.879289522571436297e-05 9.656465354611612334e-20 1.998611978980835702e-01 3.675952677356473874e-15 9.049664440373270173e-06 6.903508333837770916e-18 2.244208290290068129e-10 5.370541543667660933e-12 3.714997481910543647e-09 3.559527002601041194e-09 2.333465044032524344e-10 2.824578468091647580e-10 1.568228265644856355e-12 5.156328539348518756e-11 2.472654511468316538e-14 2.944005496819985885e-09 4.586087052014222292e-16 2.904941321977876383e-11 1.007586167706884414e-13 1.418187593717219475e-01 1.953321761177713922e-10 5.066034308858030562e-25 2.369242277235078478e-13 3.488322332419809584e-19 4.913704842220483834e-21 2.943979347114713659e-11 2.534863524801151942e-09 1.369472149341348197e-12
6.671874999999999334e-02 7.038629643439242578e-02 3.000974441317992500e+02 6.582603077380049239e-01 5.526928771497748244e-05 1.673357835649026512e-19 1.998589603163666018e-01 3.204227266550498322e-15 1.353171375874903770e-05 1.431749309871466696e-17 3.409774457769817483e-10 7.960372410830349379e-12 5.655602424884101800e-09 6.038550912503494506e-09 3.783136188707564531e-10 4.293436536219664562e-10 2.550169195748501042e-12 8.368204325294689292e-11 4.215894452381065360e-14 4.485020912321933210e-09 9.379271878919062471e-16 4.438663505358332940e-11 2.664589632709311843e-13 1.418119092389925062e-01 3.347557915368131753e-10 1.527983636339860608e-24 2.365816799570432931e-13 4.153266775172463219e-19 9.848441165304943947e-21 3.876875437147583706e-11 3.862649972377706854e-09 2.035974721414328513e-12
6.679687500000000555e-02 7.039445350555753600e-02 3.001195188883531841e+02 6.582594300781320351e-01 5.884590441122161024e-05 2.232511484805075099e-19 1.998575625557364455e-01 2.953451107327277423e-15 1.661636296919095647e-05 2.082524412761198795e-17 4.222115771818442396e-10 9.755604511873259560e-12 7.010795187455256707e-09 7.930134778127626213e-09 4.848753926518732392e-10 5.317840946357889026e-10 3.274310503270833191e-12 1.073205945517436513e-10 5.554081365211201994e-14 5.561750774111971970e-09 1.375458524462973610e-15 5.512598028697674314e-11 3.822662740964466621e-13 1.418075177013253529e-01 4.420178773444238139e-10 2.405566927126142985e-24 2.363525263792373800e-13 4.559726630585812746e-19 1.403931391046170350e-20 4.459035397275406206e-11 4.790562702380007156e-09 2.531118194196100150e-12
6.687500000000000389e-02 7.040410687572638826e-02 3.001470924261803930e+02 6.582586315699189283e-01 6.267159222808132361e-05 3.008049877963782597e-19 1.998559121351587975e-01 2.693951611108358278e-15 2.047498205418394249e-05 3.052297699900176174e-17 5.247741138986322448e-10 1.201379470510349328e-11 8.724305078665758539e-09 1.048502368277737854e-08 6.248317387577292979e-10 6.611842476734988952e-10 4.227682575139843089e-12 1.383953294847015178e-10 7.369737185862559678e-14 6.923716422119307793e-09 2.031462952489039508e-15 6.873173220877474775e-11 5.287813539553121941e-13 1.418022749457736598e-01 5.877921786060269455e-10 3.656017105489444388e-24 2.360694451545112351e-13 5.025557330096650666e-19 2.012576787222528919e-20 5.137674739996975387e-11 5.964443547257463268e-09 3.186593032771831370e-12
6.695312500000000222e-02 7.041559196357660699e-02 3.001815319742063934e+02 6.582579472547935850e-01 6.676362432451210288e-05 4.091793200713930742e-19 1.998539464607740068e-01 2.428282917784515262e-15 2.530158009819643514e-05 4.503701010272477966e-17 6.542607971511705519e-10 1.485437810045523658e-11 1.089081348109777470e-08 1.393567664897964477e-08 8.086410292562061714e-10 8.246339079485627370e-10 5.483035305423547963e-12 1.792438551432484262e-10 9.833122823156143706e-14 8.646427379295517780e-09 3.015339033686386436e-15 8.596839997145739171e-11 7.141441117050736511e-13 1.417959967342387329e-01 7.858986819383247383e-10 5.434002125087015036e-24 2.357198891296185737e-13 5.558034739315594321e-19 2.898783991718731167e-20 5.929257013090102827e-11 7.449444864953887506e-09 4.054296887234200396e-12
6.703125000000001443e-02 7.042932493526604665e-02 3.002245436403621852e+02 6.582574207566305180e-01 7.114044415627331086e-05 5.616714600250752044e-19 1.998515858039716930e-01 2.159635750240613719e-15 3.133868889829500090e-05 6.684212853642566346e-17 8.177329896660815691e-10 1.842767602098254191e-11 1.362998381924415521e-08 1.859592337315205853e-08 1.050032375235534173e-09 1.031084124477263824e-09 7.136303874568637034e-12 2.329375209523292543e-10 1.317514069656594832e-13 1.082535098741373101e-08 4.491495038003650829e-15 1.078040615731035995e-10 9.486499609629433057e-13 1.417884575317847340e-01 1.055111081118527627e-09 7.958920961921980872e-24 2.352885919059783331e-13 6.165052088554533068e-19 4.192058679654837244e-20 6.853270833626404813e-11 9.327947680636152594e-09 5.202913560848197994e-12
6.710937500000001277e-02 7.044582247625254257e-02 3.002782559175607275e+02 6.582571061395959822e-01 7.582173503974843243e-05 7.776295778163125620e-19 1.998487285454488838e-01 1.891794359031411262e-15 3.888943638779821150e-05 9.971493780553609177e-17 1.024100083133429390e-09 2.292296950799530337e-11 1.709303107525940632e-08 2.488938070187896986e-08 1.367025527854163960e-09 1.291833929855592676e-09 9.314044613627758580e-12 3.035110117743794149e-10 1.770888274395270644e-13 1.358116868263849488e-08 6.706846300522791125e-15 1.354643690677032065e-10 1.245319136359210192e-12 1.417793812129944375e-01 1.420928479575492590e-09 1.154229326691798856e-23 2.347570550151708253e-13 6.855218881895414644e-19 6.083258926049638542e-20 7.932881482874576692e-11 1.170410042544111171e-08 6.723333638965120505e-12
