#x u rho mdot phi T Ts N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3 
0.0495793 1.06962 0.339994 0.3 1.31018 918.061 1083.68 0.631307 0.000281085 1.22928e-09 0.191647 9.63342e-09 0.000124888 5.34332e-10 5.5863e-08 8.51774e-07 9.07557e-07 2.86401e-07 2.28305e-07 2.06045e-08 1.22591e-10 3.66314e-09 5.75914e-13 4.50169e-07 1.36339e-09 2.96963e-09 8.63498e-09 0.176631 1.12951e-06 1.72752e-13 2.12639e-12 3.05303e-09 5.71697e-14 4.03833e-06 8.25344e-07 1.7505e-08 
0.0496281 1.08543 0.335044 0.3 1.31117 931.286 1099.41 0.631296 0.000312545 1.77307e-09 0.191632 1.39861e-08 0.000164929 8.26275e-10 7.21301e-08 1.00848e-06 1.26203e-06 4.30181e-07 3.18491e-07 3.11118e-08 1.78645e-10 5.27984e-09 8.55447e-13 6.35223e-07 2.19709e-09 4.11464e-09 1.19496e-08 0.176582 1.53456e-06 3.51699e-13 3.3749e-12 4.80752e-09 1.00937e-13 5.17281e-06 1.0818e-06 2.47732e-08 
0.049677 1.10169 0.3301 0.3 1.31223 944.848 1115.44 0.631284 0.000347821 2.56097e-09 0.191613 2.02777e-08 0.000219478 1.28009e-09 9.35805e-08 1.19181e-06 1.77356e-06 6.56211e-07 4.48874e-07 4.7388e-08 2.63848e-10 7.70249e-09 1.28776e-12 9.06789e-07 3.5916e-09 5.75652e-09 1.66253e-08 0.17652 2.10795e-06 7.17423e-13 5.39867e-12 7.55003e-09 1.8187e-13 6.66235e-06 1.42582e-06 3.54406e-08 
0.0497258 1.11842 0.325159 0.3 1.31337 958.762 1131.79 0.631272 0.000387332 3.70219e-09 0.191586 2.93351e-08 0.000293538 1.98468e-09 1.21636e-07 1.40402e-06 2.50829e-06 1.00995e-06 6.35793e-07 7.24834e-08 3.92739e-10 1.13091e-08 1.95114e-12 1.30357e-06 5.92815e-09 8.09658e-09 2.31574e-08 0.17644 2.91244e-06 1.46289e-12 8.63843e-12 1.18087e-08 3.32809e-13 8.61325e-06 1.88294e-06 5.09702e-08 
0.0497746 1.13568 0.320219 0.3 1.31456 973.052 1148.46 0.63126 0.000431536 5.35248e-09 0.191549 4.2309e-08 0.00039374 3.07663e-09 1.58004e-07 1.64743e-06 3.55842e-06 1.56098e-06 9.01205e-07 1.10976e-07 5.86672e-10 1.66384e-08 2.9599e-12 1.88055e-06 9.8407e-09 1.14096e-08 3.21906e-08 0.176337 4.02928e-06 2.97501e-12 1.37523e-11 1.83724e-08 6.15956e-13 1.11627e-05 2.48398e-06 7.33671e-08 
0.0498234 1.1535 0.315272 0.3 1.31579 987.747 1165.47 0.631249 0.000480935 7.7344e-09 0.191499 6.07911e-08 0.000528833 4.76593e-09 2.04701e-07 1.92466e-06 5.05158e-06 2.41512e-06 1.274e-06 1.69659e-07 8.76642e-10 2.44475e-08 4.47772e-12 2.71523e-06 1.63736e-08 1.60663e-08 4.4549e-08 0.176205 5.56089e-06 6.02323e-12 2.16943e-11 2.84081e-08 1.14909e-12 1.44875e-05 3.26526e-06 1.05322e-07 
0.0498723 1.17193 0.310312 0.3 1.31705 1002.88 1182.83 0.631239 0.000536077 1.11661e-08 0.19143 8.69726e-08 0.000710316 7.37601e-09 2.64044e-07 2.23904e-06 7.16317e-06 3.73231e-06 1.79127e-06 2.585e-07 1.30698e-09 3.57808e-08 6.73341e-12 3.91575e-06 2.72277e-08 2.25609e-08 6.1265e-08 0.176034 7.6322e-06 1.21254e-11 3.37978e-11 4.36288e-08 2.15493e-12 1.88157e-05 4.26829e-06 1.50363e-07 
0.0499211 1.19107 0.305328 0.3 1.31829 1018.51 1200.57 0.631235 0.00059756 1.61028e-08 0.191334 1.23862e-07 0.00095322 1.14065e-08 3.38626e-07 2.59513e-06 1.01323e-05 5.7525e-06 2.49914e-06 3.91935e-07 1.93979e-09 5.20493e-08 1.00374e-11 5.63144e-06 4.51364e-08 3.15424e-08 8.36066e-08 0.175813 1.03895e-05 2.42538e-11 5.18448e-11 6.65338e-08 4.05375e-12 2.44414e-05 5.53889e-06 2.12982e-07 
0.0499699 1.21098 0.300307 0.3 1.31949 1034.7 1218.71 0.631237 0.000666035 2.31966e-08 0.1912 1.75585e-07 0.0012771 1.76331e-08 4.31236e-07 2.99927e-06 1.42821e-05 8.83286e-06 3.45284e-06 5.90591e-07 2.85979e-09 7.51081e-08 1.47952e-11 8.06576e-06 7.44229e-08 4.38509e-08 1.13099e-07 0.175527 1.39952e-05 4.81923e-11 7.80853e-11 1.00757e-07 7.63649e-12 3.17445e-05 7.12542e-06 2.98712e-07 
0.0500188 1.23181 0.29523 0.3 1.3206 1051.52 1237.27 0.631252 0.000742209 3.33845e-08 0.191016 2.47813e-07 0.00170722 2.72675e-08 5.44719e-07 3.46005e-06 2.00455e-05 1.35004e-05 4.71519e-06 8.83545e-07 4.17811e-09 1.07315e-07 2.15103e-11 1.14919e-05 1.21803e-07 6.05541e-08 1.51542e-07 0.175158 1.86158e-05 9.51485e-11 1.15152e-10 1.51579e-07 1.43869e-11 4.12172e-05 9.07575e-06 4.14099e-07 
