# x u T N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3
5.468750000000000520e-04 4.925718293881221205e-02 5.160208696533708235e+02 6.757487325875947137e-01 3.982480179079272834e-04 2.968304672341288088e-12 1.576949444428335789e-01 2.910205430569187911e-13 6.459124884274619616e-02 1.641980171227363337e-10 2.108879908745593346e-06 1.816059065138883195e-07 2.688489421964040791e-05 5.014954275819445912e-04 9.079220743527080442e-06 1.341894385092553893e-06 1.802912398610124614e-07 3.945133433950643052e-06 2.812920644169326742e-09 1.904434481002885635e-05 9.320841714721717139e-10 3.846983946015981575e-07 1.452119424983977976e-08 1.009716315963382210e-01 1.414030799572055849e-05 4.062199746749526728e-18 1.845953842477778671e-13 1.710540667107694571e-13 6.962963735140020881e-14 1.228556130536165743e-07 1.619776242150687648e-05 6.874673178399625608e-08
5.859375000000000867e-04 5.080246481002197861e-02 5.319595599105419979e+02 6.764648244517370568e-01 4.021099298367380374e-04 4.285398629784460636e-12 1.562417659206069565e-01 6.058517260993978303e-13 6.646517469168666814e-02 1.970041912519406942e-10 2.178885006553705478e-06 2.250120276783921770e-07 2.792339787375429849e-05 5.237084634697808990e-04 9.475246647197654133e-06 1.354879780053257053e-06 1.847936802756379255e-07 4.041401131462956807e-06 2.889996609711814972e-09 1.971545753188662470e-05 1.052686206113270086e-09 3.980981575862357738e-07 1.541478079260824026e-08 9.980510959414365391e-02 1.478582739723464605e-05 6.775439726614791261e-18 2.579440358606721845e-13 3.123385383900413650e-13 8.657951770242241237e-14 1.522984685523789661e-07 1.677802545568670637e-05 7.404941651884864595e-08
6.250000000000001214e-04 5.235498947004143394e-02 5.479587862208194338e+02 6.771977394866360855e-01 4.059354755112666016e-04 6.164034290853405542e-12 1.547719237905244571e-01 1.222410226809096877e-12 6.834340173867142765e-02 2.356186931138036618e-10 2.249123322660309926e-06 2.765871972119560326e-07 2.899642606215769021e-05 5.463776324572842610e-04 9.878802415562607062e-06 1.364061937640340482e-06 1.888940453319300850e-07 4.131437719732346466e-06 2.962492073371685878e-09 2.039614660361724563e-05 1.193663697975842028e-09 4.116706314719833736e-07 1.642041815425942189e-08 9.863362814582193883e-02 1.544543493663889499e-05 1.198002671603025335e-17 3.606116123951141517e-13 5.584791623794660729e-13 1.071026366647878629e-13 1.874715769547621146e-07 1.736705884845993374e-05 7.977787629880465125e-08
6.640625000000001561e-04 5.391473885601562321e-02 5.640182218267096914e+02 6.779475452277147207e-01 4.097264183358564210e-04 8.838600558559597363e-12 1.532852935294628516e-01 2.396174766094011510e-12 7.022616170648035561e-02 2.810708831042488142e-10 2.319462031458210097e-06 3.373769014410662574e-07 3.010693852603335097e-05 5.695066052902567240e-04 1.028902286301139991e-05 1.369422418952884510e-06 1.925679097792559864e-07 4.214742658205017562e-06 3.029963795258102477e-09 2.108652943352361711e-05 1.358880525464030464e-09 4.254169924061945451e-07 1.756004331683253848e-08 9.745700362229239855e-02 1.611914944149037750e-05 2.157570404298321523e-17 5.037893881028490354e-13 9.800409063778010711e-13 1.319142359546938730e-13 2.293199375074021445e-07 1.796471824362858689e-05 8.596313816151349758e-08
7.031250000000001908e-04 5.548170643717170031e-02 5.801376594033569063e+02 6.787143060926091875e-01 4.134843959773036137e-04 1.263899093497951825e-11 1.517817560994579595e-01 4.572766795409344988e-12 7.211367279021327348e-02 3.346251294253218839e-10 2.389744975604472732e-06 4.084634266500172457e-07 3.125808739804589057e-05 5.930990100227885153e-04 1.070485164552128231e-05 1.371034339443182705e-06 1.957938716109983968e-07 4.290814051394997619e-06 3.091952544281543101e-09 2.178673406425891683e-05 1.553108558195352074e-09 4.393383121184045982e-07 1.885991626709090017e-08 9.627506354488643558e-02 1.680694911408133215e-05 3.909572245052243110e-17 7.025129615207758725e-13 1.691311554640678597e-12 1.618920911097585856e-13 2.789508899234269963e-07 1.857079075151907380e-05 9.263713260352313779e-08
7.421875000000002255e-04 5.705589529387661285e-02 5.963169908909021615e+02 6.794980839715855092e-01 4.172109331995840125e-04 1.802785284651329579e-11 1.502611977224557471e-01 8.511196377960422716e-12 7.400614018464332644e-02 3.978568781353394958e-10 2.459790070497993455e-06 4.909495408433540296e-07 3.245322296509289047e-05 6.171584238135280299e-04 1.112503248066624253e-05 1.369075920208283335e-06 1.985536340505044866e-07 4.359150765043569399e-06 3.147979290233713742e-09 2.249690272822750317e-05 1.782255347212815518e-09 4.534355416933369005e-07 2.035160305564873291e-08 9.508764567558709857e-02 1.750876350445825387e-05 7.101184850199310801e-17 9.767413249431027509e-13 2.875674987561361267e-12 1.981212053301874601e-13 3.376694456545990034e-07 1.918498144028863551e-05 9.983268179631350001e-08
7.812500000000001518e-04 5.863731642243351361e-02 6.125561897200037720e+02 6.802989386941024064e-01 4.209074534483903682e-04 2.565134285597083973e-11 1.487235096693250991e-01 1.547548691249195898e-11 7.590375664600353123e-02 4.727573534744405504e-10 2.529386629827297471e-06 5.859399256590858228e-07 3.369590357648878610e-05 6.416883642967224129e-04 1.154810392963460617e-05 1.363841164834757325e-06 2.008320250823060783e-07 4.419254851394260800e-06 3.197540300345632658e-09 2.321719629929742932e-05 2.053660616569749819e-09 4.677094866921351178e-07 2.207321393355476573e-08 9.389459717552828266e-02 1.822446470572406996e-05 1.291278057799045884e-16 1.352625781089586184e-12 4.824891113690374181e-12 2.419518728140929534e-13 4.070215698048500464e-07 1.980689699046397451e-05 1.075836360097532623e-07
8.203125000000000781e-04 6.022598722882576555e-02 6.288552950408995912e+02 6.811169283947210440e-01 4.245752894108727150e-04 3.640765978837030575e-11 1.471685880665068169e-01 2.752599243929913209e-11 7.780670306655586288e-02 5.618775142390699591e-10 2.598292645112826133e-06 6.945202513566887094e-07 3.498991077637644972e-05 6.666922802722206670e-04 1.197239856638731007e-05 1.355746586395718974e-06 2.026169431022899739e-07 4.470634298527597054e-06 3.240100947589530246e-09 2.394779989901784129e-05 2.376483004317772960e-09 4.821607704922739611e-07 2.407094979547478752e-08 9.269577382468775772e-02 1.895385760973090789e-05 2.349439337005061364e-16 1.863952743989495160e-12 7.999397400541820403e-12 2.950751444139638670e-13 4.888468786299613694e-07 2.043602619341499291e-05 1.159252101040942164e-07
8.593750000000001128e-04 6.182193017879644009e-02 6.452143976111428856e+02 6.819521097963495704e-01 4.282156927526968603e-04 5.153855211495875192e-11 1.455963337234268129e-01 4.795245156716611877e-11 7.971514904565858706e-02 6.685257737293402164e-10 2.666232055273351412e-06 8.177334875448149275e-07 3.633927047072078371e-05 6.921735414442983878e-04 1.239604741522905225e-05 1.345333156968317534e-06 2.038992208530610911e-07 4.512806112127793932e-06 3.275088061329604896e-09 2.468892998470011041e-05 2.762204936784499066e-09 4.967897815359046596e-07 2.640100836420629876e-08 9.149103929583278505e-02 1.969666899052418738e-05 4.275889564257512112e-16 2.553718101635538283e-12 1.312002420222807244e-11 3.596208653999817119e-13 5.853424273448589710e-07 2.107171701352855955e-05 1.248945751742873268e-07
8.984375000000001475e-04 6.342517157502261527e-02 6.616336270333288212e+02 6.828045384246590466e-01 4.318298432167691969e-04 7.274982666362826194e-11 1.440066519838866521e-01 8.190322770947315192e-11 8.162925344488716761e-02 7.970392467653645385e-10 2.732892046207252305e-06 9.565527128295705855e-07 3.774828053107993843e-05 7.181354269133695184e-04 1.281699060545595442e-05 1.333263028190748155e-06 2.046724044999975445e-07 4.545299731859985246e-06 3.301880736743766879e-09 2.544084333103520032e-05 3.225291758479773678e-09 5.115965986183355828e-07 2.913188979843811791e-08 9.028026447599959980e-02 2.045253511261740120e-05 7.781812615297818708e-16 3.475756527881235003e-12 2.130606305662254282e-11 4.382848052988231499e-13 6.991394694021362289e-07 2.171315000625389222e-05 1.345317579350569240e-07
