#x u T Ts N2 H2 H O2 O H2O OH H2O2 HO2 NO N2O NO2 HNO HNO2 HONO HONO2 N2H2 H2NN NH2OH HNOH NH3 N2H4 N NO3 NH NNH NH2 H2NO N2H3
0.01255094382 0.345504368 300.0 300.0 0.6490772517 1.157846918e-50 1.443706986e-66 0.197077163 1.582608642e-50 2.250932918e-47 1.169182108e-51 1.814610825e-44 9.20725592e-35 9.59871142e-52 1.934997827e-61 4.356645961e-64 3.87342307e-47 4.094439481e-83 7.706666313e-79 2.628254099e-108 1.014283622e-82 4.93806291e-65 1.665890633e-67 2.395112148e-69 0.1538455853 4.522869546e-63 2.623464171e-98 3.029867078e-62 3.637055466e-67 4.408085522e-75 4.482246073e-35 3.326805435e-50 1.585671146e-70
0.01307514962 0.345504368 300.0 300.0 0.6490772517 3.815993727e-50 1.501891249e-66 0.197077163 1.705023946e-50 2.430093387e-47 1.216317276e-51 1.959447266e-44 9.579467978e-35 1.07302504e-51 2.159691356e-61 4.913220675e-64 4.181772222e-47 4.778465951e-83 8.994855089e-79 3.187967993e-108 1.143753393e-82 5.367203905e-65 1.862290731e-67 2.677474177e-69 0.1538455853 5.073734692e-63 2.982126111e-98 3.50053433e-62 3.956231685e-67 4.585805552e-75 4.662930756e-35 3.591652779e-50 1.778718322e-70
0.01359200242 0.345504368 300.0 300.0 0.6490772517 1.245374126e-49 1.559830584e-66 0.197077163 1.829944275e-50 2.613450781e-47 1.262791473e-51 2.107691864e-44 9.946459031e-35 1.19296295e-51 2.397388558e-61 5.50681144e-64 4.497345442e-47 5.533891669e-83 1.041759797e-78 3.829669605e-108 1.281825864e-82 5.807976512e-65 2.070467053e-67 2.976766097e-69 0.1538455853 5.65896762e-63 3.36696386e-98 4.016232688e-62 4.284226813e-67 4.762579093e-75 4.841080982e-35 3.8627057e-50 1.983803897e-70
0.01410160532 0.345504368 300.0 300.0 0.6490772517 4.024816813e-49 1.616224629e-66 0.197077163 1.957193408e-50 2.800759326e-47 1.308613962e-51 2.259145271e-44 1.03083023e-34 1.319648593e-51 2.647974933e-61 6.137362023e-64 4.819719626e-47 6.363516258e-83 1.198017795e-78 4.559917303e-108 1.428487703e-82 6.259725874e-65 2.29035668e-67 3.292897433e-69 0.1538455853 6.2784303e-63 3.778042692e-98 4.578454862e-62 4.620546859e-67 4.935060666e-75 5.016732295e-35 4.139600782e-50 2.20087935e-70
0.01460406003 0.345504368 300.0 300.0 0.6490772517 1.288145758e-48 1.672529597e-66 0.197077163 2.086602632e-50 2.991781915e-47 1.35379388e-51 2.413615165e-44 1.066507e-34 1.453032449e-51 2.911311419e-61 6.804733096e-64 5.148486589e-47 7.269958048e-83 1.368753634e-78 5.385271056e-108 1.583706291e-82 6.721820034e-65 2.521873696e-67 3.625744652e-69 0.1538455853 6.931914156e-63 4.215360921e-98 5.188581818e-62 4.964715049e-67 5.106606954e-75 5.18991975e-35 4.421987423e-50 2.429871459e-70
0.01509946682 0.345504368 300.0 300.0 0.6490772517 4.082960025e-48 1.727483274e-66 0.197077163 2.218010434e-50 3.18628982e-47 1.398340234e-51 2.570916022e-44 1.101683333e-34 1.593052813e-51 3.187236623e-61 7.508708639e-64 5.483252579e-47 8.255650196e-83 1.554426542e-78 6.312261606e-108 1.747431199e-82 7.193649197e-65 2.764911038e-67 3.975153819e-69 0.1538455853 7.619145638e-63 4.678854894e-98 5.847881771e-62 5.316271301e-67 5.274502633e-75 5.36067791e-35 4.709527418e-50 2.670684259e-70
0.01558792455 0.345504368 300.0 300.0 0.6490772517 1.281726001e-47 1.782018433e-66 0.197077163 2.351262219e-50 3.384062442e-47 1.442261905e-51 2.730868909e-44 1.136366248e-34 1.739636811e-51 3.47556893e-61 8.249002035e-64 5.823637836e-47 9.32283818e-83 1.755460364e-78 7.347361313e-108 1.919595614e-82 7.67462506e-65 3.019342251e-67 4.340943124e-69 0.1538455853 8.339791536e-63 5.168403742e-98 6.557509855e-62 5.674771713e-67 5.441010067e-75 5.529040848e-35 5.001894576e-50 2.923200896e-70
0.01606953069 0.345504368 300.0 300.0 0.6490772517 3.985143989e-47 1.835556113e-66 0.197077163 2.486210033e-50 3.584887055e-47 1.485567649e-51 2.893301281e-44 1.170562667e-34 1.892701356e-51 3.776108477e-61 9.025261821e-64 6.169276163e-47 1.047357847e-82 1.972243314e-78 8.496956684e-108 2.100117664e-82 8.164180151e-65 3.285023144e-67 4.722905259e-69 0.1538455853 9.093463984e-63 5.683833862e-98 7.31850838e-62 6.039788079e-67 5.604445674e-75 5.695042161e-35 5.298774356e-50 3.187285383e-70
0.01654438135 0.345504368 300.0 300.0 0.6490772517 1.2272711e-46 1.888392437e-66 0.197077163 2.622712305e-50 3.788558574e-47 1.528266102e-51 3.058046788e-44 1.204279413e-34 2.052154047e-51 4.088639006e-61 9.83707714e-64 6.519814515e-47 1.170973828e-82 2.205127921e-78 9.76732272e-108 2.288901693e-82 8.661767206e-65 3.561793363e-67 5.120809682e-69 0.1538455853 9.879725209e-63 6.224923171e-98 8.131807625e-62 6.410907418e-67 5.765823773e-75 5.858714978e-35 5.599863514e-50 3.462784262e-70
0.0170125713 0.345504368 300.0 300.0 0.6490772517 3.743722685e-46 1.941181737e-66 0.197077163 2.760633589e-50 3.994879307e-47 1.570365777e-51 3.224945076e-44 1.237523215e-34 2.217894016e-51 4.41292957e-61 1.068398281e-63 6.874912577e-47 1.303299617e-82 2.454431145e-78 1.116459896e-107 2.485839434e-82 9.16685852e-65 3.849477848e-67 5.534404707e-69 0.1538455853 1.069809194e-62 6.791405066e-98 8.99822701e-62 6.78773149e-67 5.926449487e-75 6.020091962e-35 5.904869738e-50 3.749528146e-70
0.01747419395 0.345504368 300.0 300.0 0.6490772517 1.131234389e-45 1.992316133e-66 0.197077163 2.899844316e-50 4.20365872e-47 1.611875067e-51 3.393841596e-44 1.270300707e-34 2.389812717e-51 4.748736138e-61 1.156546415e-63 7.23424236e-47 1.444484351e-82 2.720434641e-78 1.269476736e-107 2.690811125e-82 9.678945333e-65 4.147888209e-67 5.963419489e-69 0.1538455853 1.154803957e-62 7.382972183e-98 9.918476694e-62 7.169876333e-67 6.08281842e-75 6.17920531e-35 6.213511301e-50 4.04733318e-70
0.01792934142 0.345504368 300.0 300.0 0.6490772517 3.386152248e-45 2.042746703e-66 0.197077163 3.040220578e-50 4.414713238e-47 1.65280225e-51 3.564587445e-44 1.30261843e-34 2.567794695e-51 5.095803134e-61 1.248096156e-63 7.597487858e-47 1.594658684e-82 3.003385216e-78 1.436363226e-107 2.903686587e-82 1.01975373e-64 4.456824066e-67 6.407565943e-69 0.1538455853 1.24290062e-62 7.999280006e-98 1.089315965e-61 7.556971864e-67 6.236980084e-75 6.33608678e-35 6.525516771e-50 4.356002458e-70
0.01837810455 0.345504368 300.0 300.0 0.6490772517 1.004117644e-44 2.092724697e-66 0.197077163 3.181643889e-50 4.627866e-47 1.693155484e-51 3.737039163e-44 1.334482832e-34 2.751718273e-51 5.453864791e-61 1.342987473e-63 7.964344625e-47 1.753935056e-82 3.303495323e-78 1.617680174e-107 3.124326187e-82 1.072216184e-64 4.77607423e-67 6.866540451e-69 0.1538455853 1.334039626e-62 8.639950133e-98 1.19227738e-61 7.948661395e-67 6.389640543e-75 6.490767676e-35 6.840624641e-50 4.675327275e-70
0.01882057289 0.345504368 300.0 300.0 0.6490772517 2.949893405e-44 2.142007415e-66 0.197077163 3.324000981e-50 4.842946678e-47 1.732942819e-51 3.911058589e-44 1.365900273e-34 2.941456235e-51 5.822646504e-61 1.441156678e-63 8.334519461e-47 1.922408054e-82 3.62094375e-78 1.81396712e-107 3.352581802e-82 1.125236366e-64 5.105417897e-67 7.340025567e-69 0.1538455853 1.428158405e-62 9.304573499e-98 1.300771468e-61 8.344601266e-67 6.54001986e-75 6.643278868e-35 7.158583065e-50 5.005088395e-70
0.01925683474 0.345504368 300.0 300.0 0.6490772517 8.586004487e-44 2.190583351e-66 0.197077163 3.467183585e-50 5.059791239e-47 1.772172186e-51 4.086512666e-44 1.396877023e-34 3.136876422e-51 6.201865996e-61 1.542536784e-63 8.707730006e-47 2.100154788e-82 3.955876314e-78 2.025740826e-107 3.588297659e-82 1.178770415e-64 5.444625682e-67 7.827691514e-69 0.1538455853 1.525191694e-62 9.992713257e-98 1.414827805e-61 8.744460388e-67 6.688358162e-75 6.793650787e-35 7.479149507e-50 5.345057147e-70
0.01968697714 0.345504368 300.0 300.0 0.6490772517 2.476044844e-43 2.238662513e-66 0.197077163 3.611088253e-50 5.278241781e-47 1.810851408e-51 4.263273313e-44 1.427419262e-34 3.337842351e-51 6.591234506e-61 1.647057883e-63 9.083704458e-47 2.287235345e-82 4.308406731e-78 2.25349399e-107 3.831311204e-82 1.232776091e-64 5.793460688e-67 8.329197715e-69 0.1538455853 1.625071856e-62 1.070390766e-97 1.534466303e-61 9.147919902e-67 6.835049933e-75 6.941913442e-35 7.802090498e-50 5.694996558e-70
0.02011108595 0.345504368 300.0 300.0000001 0.6490772517 7.075027689e-43 2.285829923e-66 0.197077163 3.755616154e-50 5.498146323e-47 1.848988199e-51 4.441217246e-44 1.457533086e-34 3.54421374e-51 6.990457808e-61 1.754647467e-63 9.462181203e-47 2.483693249e-82 4.678617471e-78 2.497694079e-107 4.081453846e-82 1.287212722e-64 6.151679425e-67 8.844194112e-69 0.1538455853 1.727729164e-62 1.143767267e-97 1.659697506e-61 9.554672766e-67 6.979146621e-75 7.088096423e-35 8.127181322e-50 6.054662328e-70
0.0205292458 0.345504368 300.0000001 300.0000001 0.6490772517 2.003178903e-42 2.332264594e-66 0.197077163 3.900672891e-50 5.719358614e-47 1.886590164e-51 4.620225831e-44 1.487224504e-34 3.755847026e-51 7.399237193e-61 1.865230739e-63 9.842908501e-47 2.689555963e-82 5.066560711e-78 2.758782341e-107 4.338551694e-82 1.342041155e-64 6.519032704e-67 9.372322461e-69 0.1538455853 1.833092066e-62 1.219350475e-97 1.790522919e-61 9.964423382e-67 7.120937834e-75 7.232228898e-35 8.45420574e-50 6.423803787e-70
